2025-05-25T14:05:00.300000000+0600	192.168.10.25	93.184.216.34	80
2025-05-25T14:15:20.200000000+0600	192.168.10.25	203.0.113.50	8080
2025-05-25T14:20:20.200000000+0600	192.168.10.25	203.0.113.50	8080
2025-05-25T14:25:20.200000000+0600	192.168.10.25	203.0.113.50	8080
2025-05-25T14:30:20.200000000+0600	192.168.10.25	203.0.113.50	8080
2025-05-25T14:32:00.000000000+0600	192.168.10.25	203.0.113.50	4444
2025-05-25T14:35:20.200000000+0600	192.168.10.25	203.0.113.50	8080
2025-05-25T14:40:00.000000000+0600	192.168.10.30	192.168.10.25	21
2025-05-25T14:40:00.050000000+0600	192.168.10.30	192.168.10.25	22
2025-05-25T14:40:00.100000000+0600	192.168.10.30	192.168.10.25	23
2025-05-25T14:40:00.150000000+0600	192.168.10.30	192.168.10.25	25
2025-05-25T14:40:00.200000000+0600	192.168.10.30	192.168.10.25	80
2025-05-25T14:40:00.250000000+0600	192.168.10.30	192.168.10.25	443
2025-05-25T14:40:00.300000000+0600	192.168.10.30	192.168.10.25	3389
2025-05-25T14:40:00.350000000+0600	192.168.10.30	192.168.10.25	8080
